Age,Gender,Income_Level,Travel_Companion,Activity_Level,Budget,Target_Destination
56,Female,Low,Solo,2,Mid-range,Relaxation/Beach
46,Other,Medium,Group,4,Luxury,Cultural/Historical
32,Female,Low,Solo,2,Mid-range,Relaxation/Beach
60,Male,High,Family,3,Mid-range,Cultural/Historical
25,Female,High,Family,4,Mid-range,Adventure/Nature
38,Male,Low,Group,1,Luxury,Cultural/Historical
56,Male,Medium,Solo,5,Luxury,Cultural/Historical
36,Female,Low,Group,2,Mid-range,Cultural/Historical
40,Other,Medium,Group,1,Mid-range,Cultural/Historical
28,Other,Medium,Family,5,Mid-range,Adventure/Nature
28,Male,Low,Family,1,Mid-range,Relaxation/Beach
41,Female,Low,Family,4,Mid-range,Adventure/Nature
53,Male,Medium,Group,2,Mid-range,Cultural/Historical
57,Other,Medium,Group,3,Mid-range,Cultural/Historical
41,Other,Low,Solo,1,Mid-range,Relaxation/Beach
20,Female,Medium,Group,2,Economical,Cultural/Historical
39,Female,Medium,Family,4,Luxury,Party/Nightlife
19,Female,High,Family,1,Mid-range,Relaxation/Beach
41,Female,Low,Group,4,Mid-range,Cultural/Historical
61,Male,High,Solo,3,Luxury,Cultural/Historical
47,Female,Medium,Group,3,Mid-range,Cultural/Historical
55,Female,Low,Family,5,Mid-range,Cultural/Historical
19,Female,Medium,Group,5,Luxury,Party/Nightlife
38,Male,Medium,Solo,5,Economical,Relaxation/Beach
50,Other,High,Family,4,Mid-range,Cultural/Historical
29,Male,Low,Group,5,Economical,Adventure/Nature
39,Female,Medium,Solo,2,Mid-range,Relaxation/Beach
61,Female,Medium,Solo,4,Economical,Cultural/Historical
42,Female,High,Group,4,Luxury,Relaxation/Beach
44,Female,Medium,Solo,5,Economical,Adventure/Nature
59,Male,High,Group,5,Luxury,Cultural/Historical
45,Male,High,Solo,4,Luxury,Cultural/Historical
33,Female,Low,Family,3,Mid-range,Cultural/Historical
32,Female,High,Group,3,Mid-range,Cultural/Historical
64,Male,High,Family,5,Luxury,Cultural/Historical
61,Female,Low,Family,3,Economical,Cultural/Historical
20,Female,Medium,Family,2,Economical,Cultural/Historical
54,Female,Medium,Group,2,Economical,Cultural/Historical
24,Female,Low,Solo,2,Mid-range,Relaxation/Beach
38,Male,Low,Family,4,Economical,Adventure/Nature
26,Male,Low,Solo,4,Economical,Adventure/Nature
56,Female,Low,Family,4,Mid-range,Cultural/Historical
35,Female,Medium,Solo,4,Economical,Adventure/Nature
21,Female,Low,Solo,4,Economical,Adventure/Nature
42,Female,High,Family,5,Luxury,Cultural/Historical
31,Female,High,Solo,3,Mid-range,Cultural/Historical
26,Other,Low,Solo,5,Mid-range,Adventure/Nature
43,Female,Medium,Family,3,Economical,Cultural/Historical
19,Female,Medium,Family,5,Mid-range,Adventure/Nature
37,Male,High,Group,2,Economical,Cultural/Historical
45,Male,Low,Family,1,Luxury,Relaxation/Beach
64,Female,Low,Solo,4,Mid-range,Cultural/Historical
24,Male,High,Family,1,Luxury,Relaxation/Beach
61,Other,High,Solo,1,Luxury,Relaxation/Beach
25,Female,High,Group,2,Mid-range,Cultural/Historical
64,Female,High,Group,1,Mid-range,Cultural/Historical
52,Male,Low,Family,1,Luxury,Relaxation/Beach
31,Male,Medium,Family,2,Mid-range,Relaxation/Beach
34,Male,Low,Solo,3,Economical,Cultural/Historical
53,Male,Low,Family,5,Mid-range,Cultural/Historical
57,Male,High,Group,1,Economical,Cultural/Historical
21,Female,Low,Solo,4,Luxury,Party/Nightlife
19,Female,Medium,Solo,2,Mid-range,Relaxation/Beach
23,Female,High,Family,1,Luxury,Relaxation/Beach
59,Female,Low,Family,3,Mid-range,Cultural/Historical
21,Male,High,Family,3,Luxury,Cultural/Historical
46,Female,High,Group,4,Economical,Adventure/Nature
35,Female,Medium,Solo,1,Mid-range,Relaxation/Beach
43,Male,Low,Family,4,Luxury,Party/Nightlife
61,Female,Medium,Family,3,Luxury,Cultural/Historical
51,Male,Medium,Solo,3,Mid-range,Cultural/Historical
27,Female,Medium,Family,5,Economical,Adventure/Nature
53,Other,Low,Solo,3,Mid-range,Cultural/Historical
31,Male,High,Solo,2,Luxury,Relaxation/Beach
48,Female,Low,Solo,5,Economical,Cultural/Historical
32,Female,High,Group,4,Luxury,Relaxation/Beach
25,Other,Low,Family,3,Mid-range,Cultural/Historical
31,Female,Medium,Group,2,Economical,Cultural/Historical
40,Female,High,Solo,5,Luxury,Relaxation/Beach
57,Male,Low,Family,2,Economical,Cultural/Historical
38,Male,Low,Family,5,Economical,Adventure/Nature
33,Male,Medium,Group,5,Luxury,Cultural/Historical
62,Other,High,Family,5,Luxury,Cultural/Historical
35,Female,Medium,Family,4,Economical,Adventure/Nature
64,Female,Medium,Solo,5,Luxury,Cultural/Historical
41,Other,Low,Family,5,Economical,Adventure/Nature
43,Male,High,Family,2,Luxury,Relaxation/Beach
42,Male,High,Group,5,Luxury,Party/Nightlife
62,Male,Medium,Solo,4,Mid-range,Cultural/Historical
58,Male,High,Solo,2,Economical,Cultural/Historical
46,Male,Medium,Family,5,Mid-range,Cultural/Historical
32,Female,Medium,Solo,2,Economical,Cultural/Historical
62,Male,Low,Solo,4,Mid-range,Cultural/Historical
18,Male,Medium,Group,2,Mid-range,Relaxation/Beach
42,Male,Medium,Family,4,Economical,Party/Nightlife
24,Male,Low,Group,3,Luxury,Cultural/Historical
26,Other,Medium,Group,5,Economical,Adventure/Nature
41,Female,High,Solo,4,Mid-range,Cultural/Historical
18,Other,Medium,Family,5,Economical,Adventure/Nature
61,Male,Medium,Solo,4,Luxury,Cultural/Historical
25,Male,High,Group,1,Mid-range,Cultural/Historical
